x,y,real_psi_tilde,imag_psi_tilde,physical_density
3.7500000000000000e-01,-5.6250000000000000e+00,3.6619723899049584e-07,0.0000000000000000e+00,9.5360297133697646e-13
7.5000000000000000e-01,-5.6250000000000000e+00,3.1837312658777286e-07,0.0000000000000000e+00,7.2079251721439315e-13
1.1250000000000000e+00,-5.6250000000000000e+00,2.1028035729584076e-07,0.0000000000000000e+00,3.1443789272509476e-13
1.5000000000000000e+00,-5.6250000000000000e+00,1.1022848328414385e-07,0.0000000000000000e+00,8.6402265081761992e-14
1.8750000000000000e+00,-5.6250000000000000e+00,5.9677872673636554e-08,0.0000000000000000e+00,2.5325855906494410e-14
2.2500000000000000e+00,-5.6250000000000000e+00,3.5872733491898169e-08,0.0000000000000000e+00,9.1509547248409073e-15
2.6250000000000000e+00,-5.6250000000000000e+00,2.0471647119234601e-08,0.0000000000000000e+00,2.9801837210628717e-15
3.0000000000000000e+00,-5.6250000000000000e+00,8.5166596966080120e-09,0.0000000000000000e+00,5.1579372364677170e-16
3.3750000000000000e+00,-5.6250000000000000e+00,7.6097172812314200e-09,0.0000000000000000e+00,4.1178877937971281e-16
3.7500000000000000e+00,-5.6250000000000000e+00,1.5931032066858982e-09,0.0000000000000000e+00,1.8047842326420564e-17
4.1250000000000000e+00,-5.6250000000000000e+00,3.4674189408482872e-09,0.0000000000000000e+00,8.5496847014069026e-17
4.5000000000000000e+00,-5.6250000000000000e+00,-9.4978821640461089e-10,0.0000000000000000e+00,6.4149166650385923e-18
4.8750000000000000e+00,-5.6250000000000000e+00,1.1221395050856895e-09,0.0000000000000000e+00,8.9542902675481314e-18
5.2500000000000000e+00,-5.6250000000000000e+00,7.0773312216563808e-10,0.0000000000000000e+00,3.5618572246067338e-18
5.6250000000000000e+00,-5.6250000000000000e+00,-9.8803406961516878e-10,0.0000000000000000e+00,6.9419471837888863e-18
-6.0000000000000000e+00,-5.2500000000000000e+00,-1.6127605904978455e-09,0.0000000000000000e+00,1.8495976691647712e-17
-5.6250000000000000e+00,-5.2500000000000000e+00,-1.8096875670199867e-10,0.0000000000000000e+00,2.3288669086056665e-19
-5.2500000000000000e+00,-5.2500000000000000e+00,5.5371943501149212e-10,0.0000000000000000e+00,2.1803037348227275e-18
-4.8750000000000000e+00,-5.2500000000000000e+00,3.6708138273138095e-09,0.0000000000000000e+00,9.5821327323009841e-17
-4.5000000000000000e+00,-5.2500000000000000e+00,1.3983885390794823e-09,0.0000000000000000e+00,1.3905710266516256e-17
-4.1250000000000000e+00,-5.2500000000000000e+00,3.1630525854724543e-10,0.0000000000000000e+00,7.1145967349077178e-19
-3.7500000000000000e+00,-5.2500000000000000e+00,7.5575702663979607e-09,0.0000000000000000e+00,4.0616439702430255e-16
-3.3750000000000000e+00,-5.2500000000000000e+00,9.3923109748934096e-09,0.0000000000000000e+00,6.2731026097140044e-16
-3.0000000000000000e+00,-5.2500000000000000e+00,2.2852432489666353e-08,0.0000000000000000e+00,3.7136616582738368e-15
